year,gdp_pc_used_R1_R2,population_M_used_R1_R2,provenance_status
2025,5806.625,234.8333446,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2026,5951.790625,240.4666554,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2027,6100.585390625,246.1,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2028,6253.10002539062,251.7333446,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2029,6409.42752602539,257.3666554,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2030,6569.66321417602,263,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2031,6733.90479453042,269.4,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2032,6902.25241439368,275.8,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2033,7074.80872475352,282.2,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2034,7251.67894287236,288.6,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2035,7432.97091644417,295,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2036,7618.79518935527,301.3,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2037,7809.26506908915,307.6,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2038,8004.49669581638,313.9,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2039,8204.60911321179,320.2,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2040,8409.72434104209,326.5,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2041,8619.96744956814,332.76,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2042,8835.46663580734,339.02,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2043,9056.35330170252,345.28,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2044,9282.76213424508,351.54,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2045,9514.83118760121,357.8,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2046,9752.70196729124,361.64,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2047,9996.51951647352,365.48,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2048,10246.4325043854,369.32,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2049,10502.593316995,373.16,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2050,10765.1581499199,377,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2051,11034.2871036679,380.2,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2052,11310.1442812596,383.4,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2053,11592.897888291,386.6,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2054,11882.7203354983,389.8,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2055,12179.7883438858,393,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2056,12484.2830524829,395.7,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2057,12796.390128795,398.4,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2058,13116.2998820149,401.1,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2059,13444.2073790652,403.8,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
2060,13780.3125635419,406.5,"LEGACY: GDP labelled current intl $ but matches no WDI vintage except 2024 (=WDI constant-2017-$ 5,665); population is a pre-WPP-2024 vintage (2050=377.0 = WPP 2022)"
